raceid,driverid,qnumber,q
1,1,1,00:01:26.5
1,2,1,00:01:25.8
1,2,2,00:01:25.5
1,3,1,00:01:25.8
1,3,2,00:01:25.1
1,3,3,00:01:27
1,4,1,00:01:26
1,4,2,00:01:25.6
1,5,1,00:01:26.2
1,5,2,00:01:25.7
1,6,1,00:01:26.1
1,6,2,00:01:25.6
1,7,1,00:01:27
1,8,1,00:01:25.9
1,8,2,00:01:25.4
1,8,3,00:01:27.2
1,9,1,00:01:25.9
1,9,2,00:01:25.2
1,9,3,00:01:26.9
1,10,1,00:01:25.5
1,10,2,00:01:25.3
1,10,3,00:01:27
1,12,1,00:01:26.6
1,13,1,00:01:25.8
1,13,2,00:01:25.3
1,13,3,00:01:27
1,15,1,00:01:26.2
1,15,2,00:01:25.3
1,15,3,00:01:27.1
1,16,1,00:01:26.7
1,17,1,00:01:25.4
1,17,2,00:01:25.2
1,17,3,00:01:27.2
1,18,1,00:01:25.2
1,18,2,00:01:24.9
1,18,3,00:01:26.2
1,20,1,00:01:25.9
1,20,2,00:01:25.1
1,20,3,00:01:26.8
1,21,1,00:01:26.7
1,22,1,00:01:25
1,22,2,00:01:24.8
1,22,3,00:01:26.5
1,67,1,00:01:26.5
2,1,1,00:01:35.3
2,1,2,00:01:34.9
2,2,1,00:01:35.1
2,2,2,00:01:34.8
2,3,1,00:01:35.1
2,3,2,00:01:34.5
2,3,3,00:01:35.7
2,4,1,00:01:35.3
2,4,2,00:01:34.7
2,4,3,00:01:37.7
2,5,1,00:01:35
2,5,2,00:01:34.9
2,6,1,00:01:35.3
2,6,2,00:01:34.8
2,7,1,00:01:35.5
2,7,2,00:01:35.4
2,8,1,00:01:35.5
2,8,2,00:01:34.5
2,8,3,00:01:36.2
2,9,1,00:01:35.2
2,9,2,00:01:34.6
2,9,3,00:01:36.1
2,10,1,00:01:34.9
2,10,2,00:01:34.3
2,10,3,00:01:35.7
2,12,1,00:01:35.7
2,13,1,00:01:35.6
2,15,1,00:01:34.7
2,15,2,00:01:34
2,15,3,00:01:35.3
2,16,1,00:01:36
2,17,1,00:01:35
2,17,2,00:01:34.2
2,17,3,00:01:35.8
2,18,1,00:01:35.1
2,18,2,00:01:33.8
2,18,3,00:01:35.2
2,20,1,00:01:34.9
2,20,2,00:01:34.3
2,20,3,00:01:35.5
2,21,1,00:01:35.9
2,22,1,00:01:34.7
2,22,2,00:01:34.4
2,22,3,00:01:35.7
2,67,1,00:01:36.1
3,1,1,00:01:35.8
3,1,2,00:01:35.7
3,1,3,00:01:38.6
3,2,1,00:01:36.5
3,2,2,00:01:36
3,3,1,00:01:35.9
3,3,2,00:01:35.8
3,3,3,00:01:37.4
3,4,1,00:01:36.4
3,4,2,00:01:35.8
3,4,3,00:01:36.4
3,5,1,00:01:36.6
3,5,2,00:01:36
3,6,1,00:01:36.7
3,6,2,00:01:36.2
3,7,1,00:01:36.9
3,8,1,00:01:36.1
3,8,2,00:01:35.9
3,8,3,00:01:38.1
3,9,1,00:01:37
3,10,1,00:01:36.4
3,10,2,00:01:36.1
3,12,1,00:01:36.9
3,13,1,00:01:36.2
3,13,2,00:01:36
3,15,1,00:01:36.3
3,15,2,00:01:35.6
3,15,3,00:01:36.8
3,16,1,00:01:37.7
3,17,1,00:01:35.8
3,17,2,00:01:35.2
3,17,3,00:01:36.5
3,18,1,00:01:35.5
3,18,2,00:01:35.6
3,18,3,00:01:36.5
3,20,1,00:01:36.6
3,20,2,00:01:35.1
3,20,3,00:01:36.2
3,21,1,00:01:37.7
3,22,1,00:01:35.7
3,22,2,00:01:35.5
3,22,3,00:01:36.5
3,67,1,00:01:36.3
3,67,2,00:01:36
3,67,3,00:01:39.3
4,1,1,00:01:32.9
4,1,2,00:01:32.9
4,1,3,00:01:34.2
4,2,1,00:01:33.4
4,2,2,00:01:33.6
4,3,1,00:01:33.7
4,3,2,00:01:33.2
4,3,3,00:01:35.1
4,4,1,00:01:33.6
4,4,2,00:01:32.9
4,4,3,00:01:34.6
4,5,1,00:01:33.5
4,5,2,00:01:33.2
4,6,1,00:01:33.2
4,6,2,00:01:33.3
4,7,1,00:01:34.2
4,8,1,00:01:33.1
4,8,2,00:01:32.8
4,8,3,00:01:35.4
4,9,1,00:01:33.5
4,9,2,00:01:33.5
4,10,1,00:01:33.2
4,10,2,00:01:32.6
4,10,3,00:01:33.7
4,12,1,00:01:33.6
4,12,2,00:01:33.9
4,13,1,00:01:33.3
4,13,2,00:01:33
4,13,3,00:01:34.8
4,15,1,00:01:32.8
4,15,2,00:01:32.7
4,15,3,00:01:33.4
4,16,1,00:01:33.7
4,17,1,00:01:34
4,18,1,00:01:33
4,18,2,00:01:32.8
4,18,3,00:01:34
4,20,1,00:01:32.7
4,20,2,00:01:32.5
4,20,3,00:01:34
4,21,1,00:01:33.9
4,22,1,00:01:33.1
4,22,2,00:01:32.8
4,22,3,00:01:34.2
4,67,1,00:01:33.8
5,1,1,00:01:21
5,1,2,00:01:20.8
5,2,1,00:01:21.1
5,2,2,00:01:20.7
5,3,1,00:01:20.7
5,3,2,00:01:20.3
5,3,3,00:01:22.6
5,4,1,00:01:21.2
5,4,2,00:01:20.5
5,4,3,00:01:21.4
5,5,1,00:01:21.7
5,6,1,00:01:20.8
5,6,2,00:01:20.5
5,7,1,00:01:21.3
5,8,1,00:01:21.3
5,9,1,00:01:20.9
5,9,2,00:01:20.4
5,9,3,00:01:22.7
5,10,1,00:01:20.9
5,10,2,00:01:20.1
5,10,3,00:01:21.2
5,12,1,00:01:21.1
5,12,2,00:01:20.6
5,13,1,00:01:20.5
5,13,2,00:01:20.1
5,13,3,00:01:20.9
5,15,1,00:01:21.2
5,15,2,00:01:20.4
5,15,3,00:01:21.3
5,16,1,00:01:21.7
5,17,1,00:01:20.7
5,17,2,00:01:20
5,17,3,00:01:21
5,18,1,00:01:20.7
5,18,2,00:01:20.2
5,18,3,00:01:20.5
5,20,1,00:01:20.7
5,20,2,00:01:20.2
5,20,3,00:01:20.7
5,21,1,00:01:22.2
5,22,1,00:01:20.8
5,22,2,00:01:20
5,22,3,00:01:20.8
5,67,1,00:01:21
5,67,2,00:01:21.1
6,1,1,00:01:16.3
6,2,1,00:01:16.3
6,3,1,00:01:15.1
6,3,2,00:01:14.8
6,3,3,00:01:15.5
6,4,1,00:01:15.9
6,4,2,00:01:15.2
6,4,3,00:01:16
6,5,1,00:01:15.5
6,5,2,00:01:14.8
6,5,3,00:01:15.5
6,6,1,00:01:15.9
6,6,2,00:01:15.6
6,6,3,00:01:17.3
6,7,1,00:01:16.1
6,7,2,00:01:16.3
6,8,1,00:01:15.7
6,8,2,00:01:14.5
6,8,3,00:01:14.9
6,9,1,00:01:16.4
6,10,1,00:01:16.8
6,12,1,00:01:16
6,12,2,00:01:15.8
6,13,1,00:01:15.3
6,13,2,00:01:15
6,13,3,00:01:15.4
6,15,1,00:01:16.5
6,16,1,00:01:16.2
6,16,2,00:01:16.5
6,17,1,00:01:15.3
6,17,2,00:01:14.8
6,17,3,00:01:15.7
6,18,1,00:01:15.2
6,18,2,00:01:15
6,18,3,00:01:14.9
6,20,1,00:01:15.9
6,20,2,00:01:14.9
6,20,3,00:01:15.3
6,21,1,00:01:16.1
