sessionId,raceId,sessionDate,sessionTime,sessionType
1,1053,2021-04-16,\N,FP1
2,1074,2022-03-18,12:00:00,FP1
3,1052,2021-03-26,\N,FP1
4,1051,2021-11-19,\N,FP1
5,1054,2021-04-30,\N,FP1
6,1055,2021-05-07,\N,FP1
7,1056,2021-05-21,\N,FP1
8,1057,2021-06-04,\N,FP1
9,1058,2021-06-25,\N,FP1
10,1059,2021-06-18,\N,FP1
11,1060,2021-07-02,\N,FP1
12,1061,2021-07-16,\N,FP1
13,1062,2021-07-30,\N,FP1
14,1063,2021-08-27,\N,FP1
15,1064,2021-09-03,\N,FP1
16,1065,2021-09-10,\N,FP1
17,1066,2021-09-24,\N,FP1
18,1067,2021-10-08,\N,FP1
19,1069,2021-10-22,\N,FP1
20,1070,2021-11-05,\N,FP1
21,1071,2021-11-12,\N,FP1
22,1072,2021-12-03,\N,FP1
23,1073,2021-12-10,\N,FP1
24,1075,2022-03-25,14:00:00,FP1
25,1076,2022-04-08,03:00:00,FP1
26,1077,2022-04-22,11:30:00,FP1
27,1078,2022-05-06,18:30:00,FP1
28,1079,2022-05-20,12:00:00,FP1
29,1080,2022-05-27,12:00:00,FP1
30,1081,2022-06-10,11:00:00,FP1
31,1082,2022-06-17,18:00:00,FP1
32,1083,2022-07-01,12:00:00,FP1
33,1084,2022-07-08,11:30:00,FP1
34,1085,2022-07-22,12:00:00,FP1
35,1086,2022-07-29,12:00:00,FP1
36,1087,2022-08-26,12:00:00,FP1
37,1088,2022-09-02,10:30:00,FP1
38,1089,2022-09-09,12:00:00,FP1
39,1091,2022-09-30,10:00:00,FP1
40,1092,2022-10-07,03:00:00,FP1
41,1093,2022-10-21,19:00:00,FP1
42,1094,2022-10-28,18:00:00,FP1
43,1095,2022-11-11,15:30:00,FP1
44,1096,2022-11-18,10:00:00,FP1
45,1098,2023-03-03,11:30:00,FP1
46,1099,2023-03-17,13:30:00,FP1
47,1100,2023-03-31,01:30:00,FP1
48,1101,2023-04-28,09:30:00,FP1
49,1102,2023-05-05,18:00:00,FP1
50,1104,2023-05-26,11:30:00,FP1
51,1105,2023-06-02,11:30:00,FP1
52,1106,2023-06-16,17:30:00,FP1
53,1107,2023-06-30,11:30:00,FP1
54,1108,2023-07-07,11:30:00,FP1
55,1109,2023-07-21,11:30:00,FP1
56,1110,2023-07-28,11:30:00,FP1
57,1111,2023-08-25,10:30:00,FP1
58,1112,2023-09-01,11:30:00,FP1
59,1113,2023-09-15,09:30:00,FP1
60,1114,2023-09-22,02:30:00,FP1
61,1115,2023-10-06,13:30:00,FP1
62,1116,2023-10-20,17:30:00,FP1
63,1117,2023-10-27,18:30:00,FP1
64,1118,2023-11-03,14:30:00,FP1
65,1119,2023-11-16,04:30:00,FP1
66,1120,2023-11-24,09:30:00,FP1
67,1121,2024-02-29,11:30:00,FP1
68,1122,2024-03-07,13:30:00,FP1
69,1123,2024-03-22,01:30:00,FP1
70,1124,2024-04-05,02:30:00,FP1
71,1125,2024-04-19,03:30:00,FP1
72,1126,2024-05-03,16:30:00,FP1
73,1127,2024-05-17,11:30:00,FP1
74,1128,2024-05-24,11:30:00,FP1
75,1129,2024-06-07,17:30:00,FP1
76,1130,2024-06-21,11:30:00,FP1
77,1131,2024-06-28,10:30:00,FP1
78,1132,2024-07-05,11:30:00,FP1
79,1133,2024-07-19,11:30:00,FP1
80,1134,2024-07-26,11:30:00,FP1
81,1135,2024-08-23,10:30:00,FP1
82,1136,2024-08-30,11:30:00,FP1
83,1137,2024-09-13,09:30:00,FP1
84,1138,2024-09-20,09:30:00,FP1
85,1139,2024-10-18,17:30:00,FP1
86,1140,2024-10-25,18:30:00,FP1
87,1141,2024-11-01,14:30:00,FP1
88,1142,2024-11-21,02:30:00,FP1
89,1143,2024-11-29,13:30:00,FP1
90,1144,2024-12-06,09:30:00,FP1
91,1053,2021-04-16,\N,FP2
92,1074,2022-03-18,15:00:00,FP2
93,1052,2021-03-26,\N,FP2
