circuitId,name,location,url
1,Albert Park Grand Prix Circuit,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Sepang International Circuit,Kuala Lumpur,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,Bahrain International Circuit,Sakhir,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,Circuit de Barcelona-Catalunya,Montmeló,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,Istanbul Park,Istanbul,http://en.wikipedia.org/wiki/Istanbul_Park
6,Circuit de Monaco,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Circuit Gilles Villeneuve,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Circuit de Nevers Magny-Cours,Magny Cours,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,Silverstone Circuit,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,Hockenheimring,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
11,Hungaroring,Budapest,http://en.wikipedia.org/wiki/Hungaroring
12,Valencia Street Circuit,Valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,Circuit de Spa-Francorchamps,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Autodromo Nazionale di Monza,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,Marina Bay Street Circuit,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Fuji Speedway,Oyama,http://en.wikipedia.org/wiki/Fuji_Speedway
17,Shanghai International Circuit,Shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,Autódromo José Carlos Pace,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,Indianapolis Motor Speedway,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20,Nürburgring,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
