raceId,constructorId,position,points,pointsTotal,wins
18,1,1,14,14,1
18,2,3,8,8,0
18,3,2,9,9,0
18,4,4,5,5,0
18,5,5,2,2,0
18,6,6,1,1,0
19,1,1,10,24,1
19,2,2,11,19,0
19,3,4,0,9,0
19,4,5,1,6,0
19,5,8,0,2,0
19,6,3,10,11,1
19,7,6,5,5,0
19,9,7,2,2,0
19,11,9,0,0,0
19,10,10,0,0,0
19,8,11,0,0,0
20,1,3,4,28,1
20,2,1,11,30,0
20,3,4,1,10,0
20,4,6,0,6,0
20,5,8,0,2,0
20,6,2,18,29,2
20,7,5,3,8,0
20,9,7,2,4,0
20,11,9,0,0,0
20,10,10,0,0,0
20,8,11,0,0,0
21,1,3,6,34,1
21,2,2,5,35,0
21,3,4,2,12,0
21,4,7,0,6,0
21,5,9,0,2,0
21,6,1,18,47,3
21,7,5,1,9,0
21,9,6,4,8,0
21,11,8,3,3,0
21,10,10,0,0,0
21,8,11,0,0,0
22,1,3,8,42,1
22,2,2,9,44,0
22,3,4,1,13,0
22,4,7,3,9,0
22,5,9,0,2,0
22,6,1,16,63,4
22,7,6,0,9,0
22,9,5,2,10,0
22,11,8,0,3,0
22,10,10,0,0,0
23,1,2,11,53,2
23,2,3,8,52,0
23,3,4,2,15,0
23,4,7,0,9,0
23,5,8,4,6,0
23,6,1,6,69,4
23,7,6,0,9,0
23,9,5,5,15,0
23,11,9,3,6,0
23,10,10,0,0,0
24,1,3,0,53,2
24,2,2,18,70,1
24,3,6,0,15,0
24,4,7,0,9,0
24,5,9,1,7,0
24,6,1,4,73,4
24,7,5,8,17,0
24,9,4,6,21,0
24,11,8,2,8,0
24,10,10,0,0,0
25,1,3,5,58,2
25,2,2,4,74,1
25,3,6,0,15,0
25,4,7,3,12,0
25,5,9,0,7,0
25,6,1,18,91,5
25,7,5,6,23,0
25,9,4,3,24,0
25,11,8,0,8,0
25,10,10,0,0,0
26,1,3,14,72,3
26,2,2,8,82,1
26,3,6,1,16,0
26,4,7,3,15,0
26,5,9,0,7,0
26,6,1,5,96,5
26,7,4,2,25,0
26,9,5,0,24,0
26,11,8,6,14,0
26,10,10,0,0,0
27,1,3,14,86,4
27,2,2,7,89,1
27,3,7,0,16,0
27,4,6,8,23,0
27,5,9,1,8,0
27,6,1,9,105,5
27,7,4,0,25,0
27,9,5,0,24,0
27,11,8,0,14,0
27,10,10,0,0,0
28,1,2,14,100,5
28,2,3,1,90,1
28,3,7,0,16,0
28,4,5,8,31,0
28,5,9,0,8,0
28,6,1,6,111,5
28,7,4,10,35,0
28,9,6,0,24,0
28,11,8,0,14,0
28,10,10,0,0,0
29,1,2,13,113,5
29,2,3,6,96,1
29,3,7,1,17,0
29,4,5,0,31,0
29,5,9,3,11,0
29,6,1,10,121,6
29,7,4,6,41,0
29,9,6,0,24,0
29,11,8,0,14,0
29,10,10,0,0,0
30,1,2,6,119,5
30,2,3,11,107,1
30,3,7,0,17,0
30,4,5,5,36,0
30,5,8,6,17,0
30,6,1,10,131,7
30,7,4,0,41,0
30,9,6,1,25,0
30,11,9,0,14,0
30,10,10,0,0,0
31,1,2,10,129,5
31,2,3,10,117,1
31,3,8,0,17,0
31,4,5,5,41,0
31,5,6,10,27,1
31,6,1,3,134,7
31,7,4,0,41,0
31,9,7,1,26,0
31,11,9,0,14,0
31,10,10,0,0,0
32,1,1,6,135,5
32,2,3,3,120,1
32,3,8,9,26,0
32,4,4,10,51,1
32,5,6,4,31,1
32,6,2,0,134,7
32,7,5,5,46,0
32,9,7,2,28,0
32,11,9,0,14,0
32,10,10,0,0,0
33,1,2,0,135,5
33,2,3,8,128,1
33,3,8,0,26,0
33,4,4,15,66,2
33,5,6,3,34,1
33,6,1,8,142,7
33,7,5,4,50,0
22,8,11,0,0,0
33,9,7,1,29,0
33,11,9,0,14,0
33,10,10,0,0,0
34,10,10,0,0,0
34,11,9,0,14,0
34,9,7,0,29,0
34,7,5,2,52,0
34,6,1,14,156,7
34,5,6,0,34,1
34,4,4,6,72,2
34,3,8,0,26,0
34,2,3,7,135,1
34,1,2,10,145,6
35,1,2,6,151,6
35,2,3,0,135,1
35,3,8,0,26,0
35,4,4,8,80,2
35,5,6,5,39,1
