raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
18,1,1,22,1,1,1,10,58,34:51.0,5690616,39,2,01:27.5,218.3,1
18,2,2,3,5,2,2,8,58,5.478,5696094,41,3,01:27.7,217.586,1
18,3,3,7,7,3,3,6,58,8.163,5698779,41,5,01:28.1,216.719,1
18,4,4,5,11,4,4,5,58,17.181,5707797,58,7,01:28.6,215.464,1
18,5,1,23,3,5,5,4,58,18.014,5708630,43,1,01:27.4,218.385,1
18,6,3,8,13,6,6,3,57,\N,\N,50,14,01:29.6,212.974,11
18,7,5,14,17,7,7,2,55,\N,\N,54,8,01:29.5,213.224,5
18,8,6,1,15,8,8,1,53,\N,\N,20,4,01:27.9,217.18,5
18,9,2,4,2,\N,9,0,47,\N,\N,15,9,01:28.8,215.1,4
18,10,7,12,18,\N,10,0,43,\N,\N,23,13,01:29.6,213.166,3
18,11,8,18,19,\N,11,0,32,\N,\N,24,15,01:30.9,210.038,7
18,12,4,6,20,\N,12,0,30,\N,\N,20,16,01:31.4,208.907,8
18,13,6,2,4,\N,13,0,29,\N,\N,23,6,01:28.2,216.51,5
18,14,9,9,8,\N,14,0,25,\N,\N,21,11,01:29.5,213.3,4
18,15,7,11,6,\N,15,0,19,\N,\N,18,10,01:29.3,213.758,10
18,16,10,20,22,\N,16,0,8,\N,\N,8,17,01:32.0,207.461,9
18,17,9,10,14,\N,17,0,0,\N,\N,\N,\N,\N,\N,4
18,18,11,16,12,\N,18,0,0,\N,\N,\N,\N,\N,\N,4
18,19,8,19,21,\N,19,0,0,\N,\N,\N,\N,\N,\N,4
18,20,5,15,9,\N,20,0,0,\N,\N,\N,\N,\N,\N,4
18,21,10,21,16,\N,21,0,0,\N,\N,\N,\N,\N,\N,4
18,22,11,17,10,\N,22,0,58,\N,\N,44,8,01:28.7,215.141,2
19,8,6,1,2,1,1,10,56,31:18.6,5478555,37,2,01:35.4,209.158,1
19,9,2,4,4,2,2,8,56,19.57,5498125,39,6,01:35.9,208.033,1
19,5,1,23,8,3,3,6,56,38.45,5517005,19,7,01:35.9,208.031,1
19,15,7,11,3,4,4,5,56,45.832,5524387,53,8,01:36.1,207.715,1
19,1,1,22,9,5,5,4,56,46.548,5525103,53,3,01:35.5,209.033,1
